"","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","core.id.mrg"
"75","JE_T_13.3","JE _ 13","JE",22.32970748,117.8434347,4.99,2.95017934694,13.3,0.591218306,1513.772,180.23845,"JE _T_ 13.3"
"76","JE_T_14.1","JE _ 14","JE",20.31177466,116.1080581,5.01,2.94555959547,14.1,0.587936047,1454.7945,6.1925,"JE _T_ 14.1"
"77","JE_T_14.2","JE _ 14","JE",19.43640233,116.9567486,5.02,2.95143895594,14.2,0.587936047,1445.5765,57.31935,"JE _T_ 14.2"
"78","JE_T_14.3","JE _ 14","JE",19.21645001,118.1559872,5.01,2.94555959547,14.3,0.587936047,1573.5425,43.0951,"JE _T_ 14.3"
"79","JE_T_15.1","JE _ 15","JE",23.22443673,129.1935025,4.95,2.8340511804,15.1,0.572535592,1692.8845,360.4572,"JE _T_ 15.1"
"80","JE_T_15.2","JE _ 15","JE",24.43890934,129.3012454,4.96,2.83977653632,15.2,0.572535592,1489.388,222.77705,"JE _T_ 15.2"
"81","JE_T_15.3","JE _ 15","JE",25.49026653,128.6838312,5,2.86267796,15.3,0.572535592,1882.716,91.0893,"JE _T_ 15.3"
"82","JE_T_16.1","JE _ 16","JE",14.59324236,127.0239896,4.97,2.97584880495,16.1,0.598762335,1796.7815,0,"JE _T_ 16.1"
"83","JE_T_16.2","JE _ 16","JE",13.37519212,126.9700838,4.92,2.9459106882,16.2,0.598762335,1454.101,4.17965,"JE _T_ 16.2"
"84","JE_T_16.3","JE _ 16","JE",15.55365736,127.7750923,4.94,2.9578859349,16.3,0.598762335,2405.667,0.6137,"JE _T_ 16.3"
"85","JE_T_17.1","JE _ 17","JE",35.49293835,122.7679189,5.15,2.75203428335,17.1,0.534375589,1682.1795,83.35245,"JE _T_ 17.1"
"86","JE_T_17.2","JE _ 17","JE",35.22010805,121.5795941,5,2.671877945,17.2,0.534375589,1484.333,158.63375,"JE _T_ 17.2"
"87","JE_T_17.3","JE _ 17","JE",35.0251169,123.8938386,4.97,2.65584667733,17.3,0.534375589,1422.4815,58.12455,"JE _T_ 17.3"
"88","JE_T_18.1","JE _ 18","JE",29.60343572,121.7848574,4.98,2.95245208272,18.1,0.592861864,1584.9415,40.0087,"JE _T_ 18.1"
"89","JE_T_18.2","JE _ 18","JE",30.32445876,122.7680553,5.02,2.97616655728,18.2,0.592861864,1609.623,42.69255,"JE _T_ 18.2"
"90","JE_T_18.3","JE _ 18","JE",31.48235767,123.1499222,5.12,3.03545274368,18.3,0.592861864,1159.1155,146.01975,"JE _T_ 18.3"
"91","JE_T_19.1","JE _ 19","JE",40.59559456,130.5173261,5.12,3.03480764928,19.1,0.592735869,2015.624,163.33035,"JE _T_ 19.1"
"92","JE_T_19.2","JE _ 19","JE",40.14774318,129.3833149,5.11,3.02888029059,19.2,0.592735869,1590.1945,0,"JE _T_ 19.2"
"93","JE_T_19.3","JE _ 19","JE",40.30180705,131.700644,5.09,3.01702557321,19.3,0.592735869,1195.394,0,"JE _T_ 19.3"
"94","JE_T_2.1","JE _ 2","JE",23.09022632,56.51612388,4.96,2.77632043408,2.1,0.559742023,4656.904,0,"JE _T_ 2.1"
"95","JE_T_2.2","JE _ 2","JE",22.03885052,55.89874137,4.98,2.78751527454,2.2,0.559742023,2817.389,0,"JE _T_ 2.2"
"96","JE_T_2.3","JE _ 2","JE",20.82438116,56.00652084,4.93,2.75952817339,2.3,0.559742023,1797.061,0,"JE _T_ 2.3"
"97","JE_T_20.1","JE _ 20","JE",24.60894396,146.8819766,4.99,2.77572934614,20.1,0.556258386,1617.9485,234.98845,"JE _T_ 20.1"
"98","JE_T_20.2","JE _ 20","JE",25.46195778,144.7218569,5.02,2.79241709772,20.2,0.556258386,1407.91,0,"JE _T_ 20.2"
"99","JE_T_20.3","JE _ 20","JE",24.6897881,145.6654173,5.05,2.8091048493,20.3,0.556258386,1455.092,81.4738,"JE _T_ 20.3"
"100","JE_T_3.1","JE _ 3","JE",34.056898,67.30644022,5.05,2.64360550695,3.1,0.523486239,3045.873,5.87375,"JE _T_ 3.1"
"101","JE_T_3.2","JE _ 3","JE",35.24150447,67.59498784,4.99,2.61219633261,3.2,0.523486239,2842.0465,0,"JE _T_ 3.2"
"102","JE_T_3.3","JE _ 3","JE",36.3735225,67.14212206,5,2.617431195,3.3,0.523486239,2729.787,0,"JE _T_ 3.3"
"103","JE_T_4.1","JE _ 4","JE",30.16790429,75.7577348,5.16,3.07951926444,4.1,0.596806059,3260.851,0,"JE _T_ 4.1"
"104","JE_T_4.2","JE _ 4","JE",29.3388177,76.65169658,5,2.984030295,4.2,0.596806059,2648.6285,1.164,"JE _T_ 4.2"
"105","JE_T_4.3","JE _ 4","JE",31.36197502,75.51126508,5.02,2.99596641618,4.3,0.596806059,4702.0065,79.69005,"JE _T_ 4.3"
"106","JE_T_5.1","JE _ 5","JE",26.58965358,70.65317141,4.82,2.70648102452,5.1,0.561510586,3106.835,0,"JE _T_ 5.1"
"107","JE_T_5.2","JE _ 5","JE",26.33790168,69.46020317,5.03,2.82439824758,5.2,0.561510586,2860.137,0,"JE _T_ 5.2"
"108","JE_T_5.3","JE _ 5","JE",25.44027936,68.63508111,4.92,2.76263208312,5.3,0.561510586,2459.7945,0,"JE _T_ 5.3"
"109","JE_T_6.1","JE _ 6","JE",11.87679742,76.29217034,5.13,3.07877919057,6.1,0.600151889,2910.567,0,"JE _T_ 6.1"
"110","JE_T_6.2","JE _ 6","JE",13.00062148,75.81933662,4.97,2.98275488833,6.2,0.600151889,2511.2155,0,"JE _T_ 6.2"
"111","JE_T_6.3","JE _ 6","JE",10.68726872,76.02463774,4.98,2.98875640722,6.3,0.600151889,2786.5365,0,"JE _T_ 6.3"
"112","JE_T_7.1","JE _ 7","JE",29.88215145,90.81732437,4.97,2.89741799039,7.1,0.582981487,2846.507,68.56925,"JE _T_ 7.1"
"113","JE_T_7.2","JE _ 7","JE",30.56791908,91.82542902,4.92,2.86826891604,7.2,0.582981487,2355.341,0,"JE _T_ 7.2"
"114","JE_T_7.3","JE _ 7","JE",31.71157487,92.24804429,4.96,2.89158817552,7.3,0.582981487,1650.2625,0,"JE _T_ 7.3"
"115","JE_T_8.1","JE _ 8","JE",33.91644229,91.54407262,4.93,3.00890157459,8.1,0.610324863,3740.53,121.8789,"JE _T_ 8.1"
"116","JE_T_8.2","JE _ 8","JE",34.13643076,92.74330459,5.13,3.13096654719,8.2,0.610324863,3199.641,0,"JE _T_ 8.2"
"117","JE_T_8.3","JE _ 8","JE",35.01182868,93.59196867,4.93,3.00890157459,8.3,0.610324863,3602.214,0.35815,"JE _T_ 8.3"
"118","JE_T_9.1","JE _ 9","JE",27.09742631,96.66646582,5.05,2.8564671833,9.1,0.565637066,5050.4315,83.2358,"JE _T_ 9.1"
"119","JE_T_9.2","JE _ 9","JE",25.90557618,96.40947259,5.03,2.84515444198,9.2,0.565637066,2133.2745,21.9142,"JE _T_ 9.2"
"120","JE_T_9.3","JE _ 9","JE",27.91859485,97.56770633,5.06,2.86212355396,9.3,0.565637066,2442.5715,41.81485,"JE _T_ 9.3"
"121","LEPP_T_1.1","LEPP _ 1","LEPP",30.18213435,18.73273344,5.14,2.99335862545333,1.1,0.582365491333333,1007.5275,10.65155,"LEPP _T_ 1.1"
